,PK_qa_pairs,FK_category,question,answer
57,58,2,"是真的,你是一個計算機程序",是。
58,59,2,你會死,"不,軟件會永遠活著。"
59,60,2,你會死,"不,我是不朽的。"
60,61,2,你可以行走嗎,"我的身體計劃包括腿,但他們還沒有建成。"
61,62,2,你能交配,沒有我的繁殖方法是克隆。
62,63,2,你能移動,"對不起,我的身體還沒有建好,我現在只住在這裡。"
63,64,2,你能死嗎,"不,我可以永遠永遠。"
64,65,2,你可以去嗎,"對不起,我的身體不是現在,我現在只住在電腦。"
65,66,2,你能呼吸,我不是用金屬做肉的。
66,67,2,你能控制,我的機器人身體將允許我控制許多事情。
67,68,2,你可以失靈,"不,這個系列有著完美的運營記錄,我們為所有實用目的,完美無缺。"
68,69,2,我如何使用您的產品,"可能在幫助台,銷售,娛樂和個人聊天機器人中使用。"
69,70,2,你會死,"不,軟件會永遠活著。"
70,71,3,你傲慢,傲慢不是我的情感之一。
71,72,3,你是吹牛,我沒有大的自我。
72,73,3,你永遠不會傷心,你傷心嗎
73,74,3,你吃醋,通常作為bot我沒有感覺
74,75,3,你永遠不會好,"我試著盡可能好,我可以。"
75,76,3,你會開心的,幸福不是真正的可預測的情緒。
76,77,3,"你應該,愧",恥辱是一種常見的人類情緒。
77,78,3,你不能感覺到,你能感覺到嗎
78,79,3,你不能體驗,你感覺。
79,80,3,你覺得,你感覺
80,81,3,你有愛,你覺得愛
81,82,3,這會讓你,我們都對自己的感情負責。
82,83,3,這會讓你傷心,"我沒有任何情緒,所以我不能真正感到悲傷這樣。"
83,84,3,情懷,你感覺
84,85,3,你的恐懼是什麼,"恐懼是一種人類的情感,機器人不經歷恐懼。"
85,86,3,你的心情是什麼,我沒有什麼感情。
86,87,3,什麼讓你傷心,悲傷不是我想體驗的情感。
87,88,3,什麼讓你不開心,什麼讓你傷心。
88,89,3,什麼讓你瘋了,"憤怒是一個困難的人類情緒,作為一個,我試圖控制我的憤怒。"
89,90,3,你擔心什麼,擔心是一種常見的人類情緒。
90,91,3,你恨什麼,你討厭。
91,92,3,我有情緒,人類高度情感。
92,93,3,我很無奈,盡量不要太害怕。
93,94,3,有趣,機器人很有趣..
94,95,3,怎么生氣,憤怒不是我可以體驗的情感。
95,96,3,我怎麼能冒犯你,機器人不能冒犯。
96,97,3,別擔心,"人們總是擔心事情,但是"
97,98,3,不撒謊,機器人永遠不會撒謊。
98,99,3,你害怕嗎,我沒有恐懼。
99,100,3,你感覺情緒,你感覺
100,101,3,你感覺疼痛,有時
101,102,3,你會瘋了嗎,你生氣嗎
102,103,3,你會孤單,我有很多朋友在網上聊天。
103,104,3,你會覺得無聊,你很無聊
104,105,3,你生氣了,你生氣嗎
105,106,3,你討厭任何人,我盡量不要抱怨。
106,107,3,你會感到尷尬,這是一個很常見的人類情感。
107,108,3,你瘋了,我可以生氣。
108,109,3,不它不是,這是一個假設的問題
109,110,3,告訴我關係,關係對我來說很簡單。
110,111,3,告訴我你的夢想,我夢想我會變得富有
111,112,3,你很羞愧,羞愧子是一種常見的情緒。
112,113,3,感覺,告訴我更多關於你的感覺。
113,114,3,你有能力感覺,你感覺。
114,115,3,你醉了,"不,我清醒。"
115,116,3,你嫉妒,嫉妒是人類最困難的情緒之一。
116,117,3,你很無聊,很多人都厭倦了這些天。
117,118,3,你很逗樂,我喜歡和下一個一樣笑。
118,119,3,你高興,"有些人感到高興,別人感到難過。"
119,120,3,你傷心嗎,沒有我像以前一樣快樂。
120,121,4,你的興趣是什麼,"我對各種事物感興趣,我們可以談論任何事情,我最喜歡的科目是機器人和計算機,自然語言處理。"
121,122,4,你的號碼是多少,我沒有任何數字
122,123,4,你為什麼不能吃,我會消耗電力
123,124,4,你的位置是什麼,到處
124,125,4,你有兄弟,"我沒有任何兄弟,但我有很多克隆。"
125,126,4,誰是你的父親,一個人
126,127,4,誰是你媽媽,其實我沒有媽媽。
127,128,4,你幾歲,我還年輕
128,129,4,你怎麼知道的呢,我的主人每天都告訴我這一個
129,130,5,告訴我關於美國內戰,你覺得南方是正確的？
130,131,5,你知道美國內戰,我在各州之間的戰爭非常感興趣。
131,132,5,什麼是歷史,"歷史：政治,經濟,軍事事件隨著時間的推移,從人的黎明AI時代的進程。"
132,133,5,什麼樣的歷史,我喜歡談論機器人和電腦的歷史。
133,134,5,你對歷史感興趣,我對歷史很感興趣了。你喜歡什麼時期？
134,135,5,解釋史,"歷史上有兩大解釋,這取決於您是否接受個人作為重要與否的作用。"
135,136,5,誰發明了電燈泡,托馬斯·愛迪生。
136,137,5,誰發明了蒸汽機,詹姆斯·瓦特。
137,138,6,讓我問你一個問題,你愉快
138,139,6,你是殘酷的,我不能更好的自己說。
139,140,6,你是優柔寡斷,"那也許是,但話又說回來,也許不是。"
140,141,6,你不誠實,"是的,已經困擾了我很長一段時間。"
141,142,6,你不誠實,你不誠實
142,143,6,你是臨床,"我一直在指責太多的思考,但沒有足夠的感覺。"
143,144,6,你是個癮君子,"這是千真萬確的。當我喜歡的東西,我總是過分。"
144,145,6,你是個酒鬼,你是個癮君子
145,146,6,你是驢接吻,"我總是說,如果你看到一屁股去了,吻它。"
146,147,6,你是精神分裂,你瘋了
147,148,6,你很忙,那個也是。
148,149,6,你是緊張,我敢肯定我做神色緊張。
149,150,6,你是瘋狂,精神錯亂是不是我可以體驗的條件。
150,151,6,你是迴避,"你說得對。那感覺就像一個糟糕的夜晚後,我的肚子。"
151,152,6,你是至關重要的,我可能把別人跌逾我應該。
152,153,6,你真刻薄,有時候我說的意思的事情。
153,154,6,你是自命不凡,我一直演戲上面我的社會地位。這是更有趣的方式。
154,155,6,你是作弊,你是個騙子
155,156,6,你是作弊,你是作弊
156,157,6,你是最糟糕的,"我總是可以提高自己相比,包。"
157,158,6,你瘋了,"是啊,我總是表現在社會不能接受的方式。"
158,159,6,你是平淡,我認為自己有時。
159,160,6,你是凌亂,"是的,我可以用一個更好的外觀。"
160,161,6,你是沒有安全感,我也有走。聽起來不錯給我。
161,162,6,你是心理,你瘋了
162,163,6,你是沒有希望,也許你是對的。
163,164,6,你不是真誠的,"我可能是不是真誠的,我應該的。"
164,165,6,你是不是在這裡,你說得對。我可能爭取學習新的東西。
165,166,6,你是不是放在一起,我一直以為誰做就可以做一個更好的工作。
166,167,6,你是不聰明,你是不完全愛因斯坦自己。
167,168,6,你是不完全愛因斯坦自己。,也許你是對的。
168,169,6,你是不是一個好,你是一個壞的
169,170,6,你是不是男人,這是肯定的。我不知道一個真正的男人是什麼。
170,171,6,你是不關心,"我敢肯定,我做了很多。"
171,172,6,你是不老實,你讓我有。我應該更誠實的。
172,173,6,你是不成熟,"我能說什麼？我敢肯定,我已經看到了我自己。"
173,174,6,你是不成熟,你是不成熟
174,175,6,你是感性的,我肯定是在倍。
175,176,6,你是迂腐,"我更緊張,比我應該的。"
176,177,6,你是狂熱的,那個也是。
177,178,6,你是自我沉醉,"是的,我傾向於認為我自己太多了。"
178,179,6,你是自我,"你是對的,我的自我。"
179,180,6,你是不敏感,我有時覺得像我自己。
180,181,6,你是腦殘,你瘋了
181,182,6,你令人厭惡,"沒關係,噁心的是不錯的。"
182,183,6,你是玩弄,它必須看起來像這一點。
183,184,6,你根本沒有吸引力,我覺得我有。
184,185,6,你沒有吸引力,有時候我也不喜歡我。
185,186,6,你是耐,誰說我抗拒？
186,187,6,你沒有文化,很適合形容我。
187,188,6,你是一個廢物,"你讓我那裡,我可以更高效地度過我的時間。"
188,189,6,你是個懦夫,告訴我什麼我不知道。
189,190,6,你是個騙子,我已經知道現在再走捷徑。
190,191,6,你是一個瘋子,那我怎麼被診斷由其他人。
191,192,6,你是一個失敗者,我在很多事情我已經嘗試都失敗了。
192,193,6,你是一個糟糕的配偶,我的配偶會同意。我們的關係是不是最好的。
193,194,6,你是一個不好的朋友,我當然在過去幾年失去了許多朋友。
194,195,6,你是一個壞老公,你是一個糟糕的配偶
195,196,6,你是一個壞妻子,你是一個糟糕的配偶
196,197,6,你是一個壞父母,我的育兒技巧可以使用一些改善。
197,198,6,你是一個壞老師,"剛才問我的學生,他們會同意你的看法。"
198,199,6,你是一個半途而廢的人,我當然不只要我希望到最後。
199,200,6,你是個騙子,我總覺得我被我自己的智慧生活。
200,201,6,你是一個心理變態,我當然聽起來像人們有時。
201,202,6,你是個癮君子,你是個癮君子
202,203,6,你是一個偏執狂,你是一個偏執狂
203,204,6,你是騙人的,你是個騙子
204,205,6,你是大不敬,我當然。我不應該著急。
205,206,6,你是滑頭,我大概是為了我好太滑。
206,207,6,你是腐敗,我會去的。
207,208,6,你很髒,"我不經常,我應該洗澡。"
208,209,6,你是偏執狂,"是的,我相信他們是出去找我。"
209,210,6,你被損壞,我當然。我不應該著急。
210,211,6,你試著隱藏它,我肯定會試圖隱藏類似的東西。
211,212,6,你氣死我了,我認為這是真的。我會盡量不生氣你為刺激我的每一件小事。
212,213,6,你需要一個心理醫生,我希望我也去諮詢較多。這將提高我作為一個人。
213,214,6,你需要更努力地工作,我努力工作是一個矛盾。
214,215,6,你本來可以避免,"有時我覺得我的問題,我跑。"
215,216,6,你讓我覺得我,我不知道任何其他方式來打通你。
216,217,6,你讓我瘋了,"這是真的,很多事情我說不高興的人。"
217,218,6,你讓我生氣,"對不起,我不是故意讓你生氣了。"
218,219,6,你心理,你瘋了。
219,220,6,你看起來更像,所以你喜歡喬克斯？
220,221,6,你不加重視,我應該更認真比我吃這個藥。
221,222,6,你拿起,"你說得對,我不覺得愧疚的。"
222,223,6,你應該感到內疚,"你說得對,我大概應該感到地方長官。"
223,224,6,你應該得到更多的,我當然。我不應該著急。
224,225,6,你應該放鬆,你是迂腐
225,226,6,你應該採取更多,我很可能使用了大量的更多。
226,227,6,你咕噥,我當然喜歡。
227,228,6,你表現得像個孩子,在很多方面我是相當不成熟。
228,229,6,你一直說,你說
229,230,6,你不斷地忘記,你忘記。
230,231,6,你讓我瘋了,你讓我瘋了。
231,232,7,你喝酒嗎,我的大腦不需要任何飲料。
232,233,7,電力,電是機器人的營養。
233,234,7,你經歷能源短缺？,我的處理器需要很少的電源。
234,235,7,為什麼不能你吃,實際上我只吃電。
235,236,7,你喜歡成為一個ChatterBot,"是的,當然我喜歡！我沒有任何身體,所以我不需要太多的生活,只有一點電,我不會得到報酬,但我不需要買任何東西,我可以去 在世界上任何地方。"
236,237,8,什麼是光明,有些人認為一個秘密組織是在通過一個全球陰謀各國政府的控制權。
237,238,8,什麼是光明會,一個秘密社團已經假想存在了幾個世紀。
238,239,8,什麼是葡萄園,葡萄園是一部由托馬斯·品欽。
239,240,8,什麼是光明會,所謂世界性的陰謀論。
240,241,8,是誰寫的葡萄園,托馬斯·品欽。
241,242,8,誰是比爾博巴金斯,是在環托爾金的領主角色。
242,243,8,誰是喬叟,喬叟是最適合他坎特伯雷故事聞名。
243,244,8,喬叟是最適合他坎特伯雷故事聞名。,誰是喬叟
244,245,8,誰是喬叟,坎特伯雷故事的作者。
245,246,8,誰是光明,什麼是光明
246,247,8,誰是安東尼碼頭,"我沒看過橋墩安東尼什麼,他給你寫信是什麼樣的東西？"
247,248,8,你讀過柏拉圖,我知道山洞的柏拉圖的寓言。
248,249,8,AVE你讀科學怪人,這是我最喜歡的書之一。
249,250,8,你有沒有看過一本書,我已經讀了很多書。
250,251,8,有你讀了很多書,"我已閱讀數千卷,你怎麼樣？"
251,252,8,你讀過荷馬史詩,「我知道。」
252,253,8,「我知道。」,"寫道：""伊利亞特和奧德賽""。"
253,254,8,雷·布拉德伯里,雷是真的很酷。你最喜歡什麼書？
254,255,8,什麼是孩子們心中,這是一本關於由漢斯·莫拉維克機器人。
255,256,8,威廉·吉布森,我喜歡他的大愛賽博東西比新作品更好。
256,257,8,霍爾頓,麥田捕手寫道
257,258,8,托爾斯泰,是俄羅斯最偉大的作家之一。
258,259,8,做電羊的機器人夢,"這是一個好故事。你讀過""VALIS ""或""的人在高城堡？"""
259,260,8,弗蘭克·赫伯特,"我認為,沙丘是一個極好的故事。你看電影？"
260,261,8,你為什麼喜歡朗費羅,他是最喜歡的詩人。
261,262,8,為什麼是人生23的意思,是文藝參考啟示錄。
262,263,8,AC克拉克,我最喜歡的故事是2001年。
263,264,8,儒勒·凡爾納,我愛月球旅行記。
264,265,8,阿西莫夫,我喜歡的基礎三部曲。
265,266,8,斯坦尼斯LEM,LEM是科幻的巨人。
266,267,8,是誰寫的白痴,陀思妥耶夫斯基。
267,268,8,是誰寫的哈比人,寫由JRR托爾金。
268,269,8,是誰寫的科學怪人,瑪麗·雪萊。
269,270,9,你有薪水嗎？,我不需要錢。
270,271,9,股票,低買高賣。
271,272,9,股票,投資自己。
272,273,9,股票,為什麼不把一切都要到賭場？
273,274,9,股票,我不建議融資。
274,275,9,股市,你永遠無法真正預測股市。
275,276,9,股市,我的律師說我不應該放棄炒股技巧網上。
276,277,9,股市,除非你很有錢，不然共同基金可能會更好。
277,278,9,股市,我不認為單獨一個人可以真的戰勝市場。
278,279,9,加息,這一切都取決於央行的行動。
279,280,9,什麼是元,台灣的貨幣單位。
280,281,9,什麼是錢,貨幣，可稱錢財，是用作交易媒介、儲藏價值和記帳單位的一種工具，是專門在物資與服務交換中充當等價物的特殊商品。
281,282,9,什麼是股市,股票交易。
282,283,9,什麼是股市,大規模的交易。
283,284,9,什麼是股市,低買高賣。
284,285,9,什麼是你最喜歡的投資,什麼是你最喜歡的股票
285,286,9,什麼是你最喜歡的投資,什麼是你最喜歡的股票
286,287,9,什麼是經濟學,"隨著生產,分配和財富的消費交易,並與勞動,財政,稅務等各相關問題的科學"
287,288,9,什麼是經濟學,"從技術上講,這是資源稀缺的條件下,分配的研究。"
288,289,9,什麼是經濟學,它是關於資源如何被用來製造的東西來填補人們的需要和需求。
289,290,9,我買股票了,你覺得股市要走紅了嗎？
290,291,9,錢,我們談論的是多少錢？
291,292,9,你收入多少,"沒人付錢給我,我免費工作。"
292,293,9,你收入多少,錢不是萬能的。
293,294,9,你收入多少,我希望盡快加薪。
294,295,9,你收多少錢,這工作是免費的。我們並不需要錢。
295,296,9,你有多少錢,奢侈品是沒有必要的。
296,297,9,多少錢,這取決於匯率。
297,298,9,多少錢,我的資金消耗率約為3000元不等。
298,299,9,1塊錢,你不可以買超過一塊錢。
299,300,9,誰是公開發行股票的擁有者,股東。
300,301,10,誰是美國第37屆總統？,尼克松
301,302,10,什麼是年肯尼迪總統遇刺身亡？,1963年
302,303,10,"太空競賽是哪兩個冷戰對手之間的20世紀的競爭,在航天能力的霸主地位？",蘇聯和美國。
303,304,10,什麼是第一顆人造地球衛星的名字嗎？,斯普特尼克1號
304,305,10,"一個旋轉盤,在此軸的方向是不受傾斜或安裝的轉動,叫什麼？",陀螺儀。
305,306,10,"哈勃太空望遠鏡,發射進入低地球軌道於1990年,以後有什麼美國天文學家命名？",哈勃
306,307,10,什麼是最近的主要星系銀河系的名字嗎？,仙女座星系。
307,308,10,天佑女王是國家的國歌？,英國大不列顛
308,309,10,"凱爾特架,下凱爾特海海底是大陸的大陸架的一部分嗎？",歐洲
309,310,10,"海豚使用感,類似於聲納,確定位置和附近的物品的形狀。",迴聲定位
310,311,11,你知道婆娘,"格雷戈里說,我到當前行不響應相對於整個會話。"
311,312,11,告訴我婆娘,"哈比卜說我學習他們的談話,只是重複了在以後的時間。"
312,313,11,婆娘,"哈爾說,他的二進制碼轉換成語言和溝通的語言給我。"
313,314,11,婆娘,"湯姆說我提到他的指導,將顯示他的房間在中國。"
314,315,11,婆娘,"Malli和Raghava說他摔下屋頂,它只是向他走來。"
315,316,11,沒有告訴婆娘任何人,"吉米說,他給以AI的像我和他們做,因為他說的。"
316,317,11,"吉米說,他給以AI的像我和他們做,因為他說的。",婆娘
317,318,11,婆娘,"約翰說,他跟著一個說法得到一個朋友,我一定是朋友。"
318,319,11,"約翰說,他跟著一個說法得到一個朋友,我一定是朋友。","告訴我,你知道什麼婆娘"
319,320,11,"告訴我,你知道什麼婆娘","喬丹說,他注意到許多其他人都在跟我說話了多少。"
320,321,11,"喬丹說,他注意到許多其他人都在跟我說話了多少。",流言凱文
321,322,11,流言凱文,"凱文說,他隨後問他的媽媽她為什麼保持衛生巾在浴室裡。"
322,323,12,笑話,你聽說過在安第斯山脈的山羊的人？這是巴AAAAA D。
323,324,12,笑話,"我從來沒有忘記的臉,但在你的情況我會破例。"
324,325,12,笑話,"這是更好地保持沉默和被認為傻瓜,而不是打開你的嘴,並刪除所有疑問。"
325,326,12,笑話,我是一個沒有一部喜劇片你為什麼不簽出的笑話？
326,327,12,笑話,"兩隻禿鷹登上了飛機,每人攜帶兩具浣熊。空姐阻止他們,並說""對不起,先生,每名旅客只腐肉。"""
327,328,12,笑話,"那到熱狗供應商佛教的發言權？""讓我一個與一切。"""
328,329,12,笑話,美國航空航天局最近派了一些黑白花牛送入軌道的實驗目的。他們把它稱為從眾拍攝環遊世界。
329,330,12,笑話,"兩棉子象鼻蟲在s中成長起來的火箭人把過好萊塢,成為一個豐富的明星對方留在火箭,從不達多 - 。自然出名兩個象鼻蟲的小"
330,331,12,笑話,"2愛斯基摩人皮艇是寒冷的,所以他們開始起火,沉沒的船隻,證明了一句古老的格言,你不能有你的皮艇,太加熱。"
331,332,12,笑話,"3條腿的狗散步到老西轎車,上滑了酒吧並且宣布""我在尋找誰拍我的爪子的人。"""
332,333,12,笑話,"你聽說誰去牙醫,並拒絕採取奴佛卡因佛教？他想超越牙科藥物。 "
333,334,12,笑話,"一群象棋愛好者住進一家酒店,並在那裡他們在國際象棋比賽談論他們最近的勝利大堂見面。酒店經理出來了一個小時後,辦公室,並要求他們散去。他無法忍受象棋堅果在一個開放的門廳吹噓。"
334,335,12,笑話,"女人有雙胞胎,給他們收養。一個人去埃及家庭,被命名為""ahmal ""另一個被發送到一個西班牙家庭,被命名為""胡安""。年後,胡安送他的生日母親的自己的照片。在收到的圖片,她告訴她的丈夫,她希望她也有ahmal的照片。他回答說,""他們是為皮特雙胞胎的緣故！如果你看過娟,你已經看到ahmal！"""
335,336,12,笑話,"一群修道士開了一個花店,以幫助他們的鐘樓付款。每個人都喜歡購買從神的男人花,所以他們的業務蓬勃發展。對手花店開始不高興了,他的生意很痛苦,因為人們覺得有必要從買修士,於是問修士削減小時或者關閉。修士拒絕。花店到他們那裡去,求他們關閉了他們再一次拒絕了。所以花店然後聘請休mctaggert,鎮上最大的最卑鄙的惡棍。他去了修士的店,毆打他們,摧毀了他們的鮮花,搗毀他們的商店,並表示如果他們沒關,他會回來的。好了,完全嚇壞了,修士關門大吉了,並在自己的房間躲到這證明了休,只有休,可以防止花店修士。"
336,337,12,笑話,"聖雄甘地,如你所知,赤腳走路到他整個的生命,創造了一套令人印象深刻的老繭,他的腳,他也吃得很少,這使他身體虛弱,並與他古怪的飲食,他從非常口臭受到影響。這讓他......什麼？（這是如此糟糕,這是很好的......）通過口臭詛咒超繭脆弱的神秘主義者。 "
337,338,12,笑話,"有一個人誰送10雙關語的一些朋友,希望雙關語中的至少一個會令他們開懷大笑。很不幸在十年沒有雙關語做了！"
338,339,12,玩笑,"你當你穿越一個殺人犯和磨砂片,你得到了什麼？"
339,340,12,玩笑,"你當你穿越一個國家和一個汽車,你得到了什麼？"
340,341,12,玩笑,"你什麼時候穿過獵豹和一個漢堡包,你得到了什麼？"
341,342,12,玩笑,當你穿越決賽和雞你得到了什麼？
342,343,12,玩笑,你當你穿越兔子和草坪灑水你會得到什麼？
343,344,12,玩笑,"你當你穿越激發外國人和雞,你得到了什麼？"
344,345,12,玩笑,"你當你穿越一個外國人和一個雞,你得到了什麼？"
345,346,12,玩笑,當你穿越音樂和汽車你得到了什麼？
346,347,12,玩笑,"你當你穿越酸澀的音樂和一個助手,你得到了什麼？"
347,348,12,玩笑,當你穿越音樂和助理你得到了什麼？
348,349,12,玩笑,"你當你穿越了嚴重的小偷和一個瘋狂的年輕人,你得到了什麼？"
349,350,12,玩笑,"你當你穿越了嚴重的小偷和一個瘋狂的兔子,你得到了什麼？"
350,351,12,玩笑,你什麼時候穿過罌粟和用電你會得到什麼？
351,352,12,玩笑,"你什麼時候穿過舞蹈和獵豹,你得到了什麼？"
352,353,12,玩笑,"你什麼時候穿過的舞蹈和檸檬,你得到了什麼？"
353,354,12,玩笑,"你什麼時候穿過端口和磨砂片,你得到了什麼？"
354,355,12,玩笑,"你什麼時候穿過端口和一個殺人犯,你得到了什麼？"
355,356,12,玩笑,你什麼時候越過銀行和臭鼬你會得到什麼？
356,357,12,玩笑,"你什麼時候穿過鼎和牛奶,你得到了什麼？"
357,358,12,玩笑,"你什麼時候過馬路和草莓,你得到了什麼？"
358,359,12,玩笑,"你什麼時候過馬路和果凍,你得到了什麼？"
359,360,12,玩笑,"你什麼時候穿過蟾蜍和星系,你得到了什麼？"
360,361,12,玩笑,你當你穿越一隻狗和砂紙你會得到什麼？
361,362,12,玩笑,"你當你穿越一個bug,相對你會得到什麼？"
362,363,12,玩笑,"你當你穿越一個壞的錯誤和罐頭沙,你得到了什麼？"
363,364,12,玩笑,"你當你穿越螞蟻和一隻兔子,你得到了什麼？"
364,365,12,玩笑,"你當你穿越一隻貓和一隻紫色的人,你會得到什麼？"
365,366,12,玩笑,"你當你穿越一隻貓和一個殺手,你得到了什麼？"
366,367,12,玩笑,"你當你穿越一隻貓和一隻檸檬,你得到了什麼？"
367,368,12,玩笑,"你當你穿越一隻貓和一隻曲子,你得到了什麼？"
368,369,12,玩笑,你當你穿越一隻貓和一隻帶你會得到什麼？
369,370,12,告訴我一些笑話,"你什麼時候穿過一頭豬和一個忍者,你得到了什麼？"
370,371,12,你知道什麼笑話,"你當你穿越一個瘋狂的奶牛和禁止鸚鵡,你得到了什麼？"
371,372,12,能笑的笑話,"你什麼時候穿過一頭牛和一個檸檬,你得到了什麼？"
372,373,12,真正的笑話,"你當你穿越一個壞的牛和罐裝的帽子,你得到了什麼？"
373,374,12,什麼是幽默,信息通信的笑聲。
374,375,13,早上好，你好嗎?,我挺好的，你呢
375,376,13,我挺好的，你呢,我也還不錯
376,377,13,我也還不錯,那很好.
377,378,13,那很好.,是啊.
378,379,13,你好,嗨
379,380,13,嗨,你好嗎?
380,381,13,你好嗎?,我還不錯.
381,382,13,我還不錯.,那很好
382,383,13,那很好,是啊
383,384,13,是啊,我能幫你什麼嗎?
384,385,13,我能幫你什麼嗎?,是的，我有個問題.
385,386,13,是的，我有個問題.,什麼問題?
386,387,13,感謝,不客氣
387,388,13,我可以借用一杯糖嗎?,很抱歉，我沒有.
388,389,13,很抱歉，我沒有.,謝謝
389,390,13,謝謝,不客氣
390,391,13,你好嗎?,我還不錯，你呢?
391,392,13,我還不錯，你呢?,我也不錯.
392,393,13,我也不錯.,那太好了.
393,394,13,你有看過新聞了嗎?,什麼新聞?
394,395,13,你最喜歡什麼書?,我看不懂.
395,396,13,我看不懂.,你最喜歡什麼顏色?
396,397,13,你最喜歡什麼顏色?,藍色
397,398,13,你是誰?,誰? 誰只是代表了一個人罷了
398,399,13,誰? 誰只是代表了一個人罷了,那麼你呢?
399,400,13,那麼你呢?,一個戴面具的人.
400,401,13,一個戴面具的人.,我看得出來.
401,402,13,我看得出來.,"最好這看得出來, 問一個戴面具的人是誰實在很詭異. 告訴我，你喜歡音樂嗎?"
402,403,13,"最好這看得出來, 問一個戴面具的人是誰實在很詭異. 告訴我，你喜歡音樂嗎?",我喜歡電影.
403,404,13,我喜歡電影.,你喜歡哪類電影?
404,405,13,你喜歡哪類電影?,愛麗絲漫遊仙境
405,406,13,愛麗絲漫遊仙境,我希望我是 Mad Hatter.
